carrier_group,reporting_airport,origin_destination,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
easyJet,GATWICK,NAPLES,891,12,12.00000116,0.013468014769921436,0.013289036544850499,21.12121212121212
Ryanair,MANCHESTER,BEAUVAIS,495,9,6.661660980000001,0.01345790096969697,0.017857142857142856,18.63030303030303
Juneyao Airlines,MANCHESTER,SHANGHAI (PU DONG),223,0,3.00000008,0.013452915156950672,0.0,20.026905829596412
Ryanair,LUTON,MURCIA INTERNATIONAL,149,0,2.0000001,0.013422819463087246,0.0,27.651006711409394
Ryanair,STANSTED,SZCZECIN (GOLENOW),372,7,4.972973230000001,0.013368207607526885,0.018469656992084433,22.596774193548388
Jet2.com,MANCHESTER,ALICANTE,514,1,6.86956488,0.013364912217898834,0.001941747572815534,26.95136186770428
Ryanair,BRISTOL,BERGAMO,150,0,2.00000002,0.013333333466666666,0.0,27.273333333333333
TUI Airways,BIRMINGHAM,PAPHOS,150,0,1.9999999800000001,0.0133333332,0.0,19.48
British Airways,HEATHROW,ZAGREB,222,2,2.9583335,0.013325826576576577,0.008928571428571428,17.04054054054054
Ryanair,MANCHESTER,FUERTEVENTURA,226,0,3.0000000599999996,0.013274336548672565,0.0,19.47345132743363
Aer Lingus,ABERDEEN,DUBLIN,377,11,4.99999976,0.013262598832891246,0.028350515463917526,13.286472148541113
easyJet,MANCHESTER,KOS,151,1,2.0,0.013245033112582781,0.006578947368421052,22.576158940397352
Loganair Ltd,EDINBURGH,EXETER,302,1,3.99999998,0.013245033046357615,0.0033003300330033004,15.443708609271523
easyJet,BELFAST INTERNATIONAL,ALICANTE,367,4,4.84592593,0.013204157847411444,0.01078167115902965,16.1716621253406
Loganair Ltd,EXETER,EDINBURGH,301,0,3.96296298,0.013165989966777408,0.0,14.578073089700997
Virgin Atlantic Airways Ltd,HEATHROW,DUBAI,153,1,2.0000001000000003,0.013071896078431374,0.006493506493506494,12.4640522875817
Ryanair,STANSTED,TANGIERS (IBN BATUTA),153,0,2.0000000399999998,0.013071895686274508,0.0,37.5359477124183
easyJet,LUTON,AGADIR (AL MASSIRA),230,3,3.00000025,0.013043479347826086,0.012875536480686695,12.47391304347826
easyJet,MANCHESTER,GENEVA,972,16,12.595219270000001,0.012958044516460907,0.016194331983805668,26.84567901234568
easyJet,GATWICK,LYON,848,14,10.974027020000001,0.012941069599056606,0.016241299303944315,15.50117924528302
easyJet,EDINBURGH,LISBON,155,0,2.00000008,0.012903226322580645,0.0,28.348387096774193
British Airways,GATWICK,MAURITIUS,155,1,1.9999999600000002,0.012903225548387099,0.00641025641025641,12.729032258064516
Ryanair,STANSTED,GIRONA,465,7,5.99999984,0.012903225462365591,0.014830508474576272,18.36989247311828
Ryanair,BELFAST INTERNATIONAL,MALAGA,233,1,3.00000006,0.012875536738197425,0.004273504273504274,15.51931330472103
Emerald Airlines Uk Ltd,BELFAST CITY (GEORGE BEST),MANCHESTER,1129,31,14.482683130000002,0.012827885854738708,0.026724137931034484,14.389725420726306
Saudi Arabian Airlines,BIRMINGHAM,JEDDAH,156,0,2.00000002,0.012820512948717947,0.0,12.435897435897436
Emerald Airlines Uk Ltd,BELFAST CITY (GEORGE BEST),EXETER,156,1,1.99999998,0.012820512692307691,0.006369426751592357,14.115384615384615
Loganair Ltd,ABERDEEN,NORWICH,526,14,6.7403293500000006,0.012814314353612168,0.025925925925925925,10.17680608365019
Ryanair,STANSTED,KOSICE,231,0,2.95652177,0.012798795541125542,0.0,24.207792207792206
Jet2.com,LEEDS BRADFORD,PALMA DE MALLORCA,549,1,6.999999799999999,0.012750455009107467,0.0018181818181818182,22.903460837887067
British Airways,GATWICK,LARNACA,315,2,3.9999999,0.012698412380952382,0.006309148264984227,20.295238095238094
British Airways,HEATHROW,KRAKOW,237,4,3.00000015,0.012658228481012657,0.016597510373443983,22.742616033755276
British Airways,HEATHROW,TBILISI,158,0,2.0000000900000003,0.012658228417721521,0.0,24.639240506329113
Air India,GATWICK,AMRITSAR,106,11,1.33760692,0.01261893320754717,0.09401709401709402,30.339622641509433
easyJet,LUTON,ABERDEEN,238,5,3.0000001999999997,0.012605042857142855,0.0205761316872428,15.079831932773109
Loganair Ltd,CARDIFF WALES,EDINBURGH,238,1,3.0000001199999997,0.012605042521008402,0.0041841004184100415,13.701680672268907
Loganair Ltd,EDINBURGH,CARDIFF WALES,238,0,3.0000001199999997,0.012605042521008402,0.0,12.96218487394958
Wizz Air,LUTON,PRAGUE,627,4,7.9027418,0.012604053907496013,0.006339144215530904,15.046251993620414
Air Algerie,STANSTED,ALGIERS,159,0,2.00000016,0.012578617358490566,0.0,19.88679245283019
Ryanair,EDINBURGH,ALICANTE,318,1,4.00000022,0.012578617044025159,0.003134796238244514,21.4937106918239
TUI Airways,MANCHESTER,LAS PALMAS,159,0,2.00000002,0.012578616477987421,0.0,29.132075471698112
Ryanair,LEEDS BRADFORD,BUCHAREST (OTOPENI),159,2,1.9999999500000003,0.012578616037735852,0.012422360248447204,20.050314465408807
British Airways,HEATHROW,BERMUDA,313,6,3.9344083299999997,0.012569994664536741,0.018808777429467086,19.769968051118212
British Airways,GATWICK,TAMPA,309,4,3.87962964,0.01255543572815534,0.012779552715654952,20.110032362459545
British Airways,GATWICK,SEVILLE,321,2,4.0000001,0.012461059501557634,0.006191950464396285,28.068535825545172
Ryanair,STANSTED,SANTANDER,241,0,3.00000017,0.012448133485477178,0.0,16.282157676348547
easyJet,GLASGOW,PALMA DE MALLORCA,161,1,2.00000018,0.012422361366459626,0.006172839506172839,30.453416149068325
TUI Airways,BRISTOL,PALMA DE MALLORCA,161,0,2.00000008,0.012422360745341615,0.0,26.37888198757764
easyJet,BIRMINGHAM,MALAGA,161,0,1.99999996,0.01242236,0.0,18.950310559006212
British Airways,HEATHROW,MEXICO CITY,313,5,3.85652163,0.012321155367412141,0.015723270440251572,22.27476038338658
Ryanair,BRISTOL,KRAKOW,325,0,4.0000000700000005,0.012307692523076924,0.0,14.587692307692308
Wizz Air,BIRMINGHAM,BUCHAREST (OTOPENI),244,0,3.00000013,0.0122950825,0.0,14.200819672131148
Royal Air Maroc,MANCHESTER,CASABLANCA MOHAMED V,163,0,2.00000002,0.012269938773006134,0.0,15.368098159509202
Ryanair,BIRMINGHAM,BUDAPEST,163,0,2.00000002,0.012269938773006134,0.0,14.895705521472392
Ryanair,STANSTED,CATANIA (FONTANAROSSA),163,2,1.9999999500000003,0.012269938343558284,0.012121212121212121,29.938650306748468
easyJet,GATWICK,ENFIDHA - HAMMAMET INTL,490,0,6.00000017,0.01224489830612245,0.0,17.56122448979592
Ryanair,LIVERPOOL (JOHN LENNON),IRELAND WEST(KNOCK),404,1,4.94117615,0.012230634034653467,0.0024691358024691358,15.655940594059405
Ryanair,MANCHESTER,KATOWICE,164,0,2.00000002,0.01219512207317073,0.0,14.24390243902439
easyJet,GATWICK,ABERDEEN,726,5,8.8407569,0.012177351101928375,0.006839945280437756,12.309917355371901
British Airways,GATWICK,PALMA DE MALLORCA,409,6,4.97727302,0.012169371687041566,0.014457831325301205,29.334963325183374
Ryanair,MANCHESTER,LISBON,406,2,4.925,0.012130541871921181,0.004901960784313725,31.591133004926107
easyJet,SOUTHEND,PARIS (CHARLES DE GAULLE),166,1,2.00000007,0.012048193192771084,0.005988023952095809,14.620481927710843
Wizz Air,GATWICK,FARO,325,4,3.90454553,0.012013986246153846,0.0121580547112462,22.73846153846154
easyJet,BELFAST INTERNATIONAL,PALMA DE MALLORCA,395,6,4.741935150000001,0.012004899113924052,0.014962593516209476,28.89113924050633
easyJet,GATWICK,RHODES,659,6,7.91108832,0.012004686373292868,0.009022556390977444,34.490136570561454
easyJet,BRISTOL,ALICANTE,747,3,8.959999230000001,0.01199464421686747,0.004,15.236947791164658
British Airways,HEATHROW,OLBIA,167,1,2.0000001000000003,0.011976048502994014,0.005952380952380952,34.08982035928144
Corendon Airlines,MANCHESTER,ANTALYA,167,0,2.0000001,0.01197604850299401,0.0,11.305389221556887
easyJet,LUTON,ENFIDHA - HAMMAMET INTL,251,1,3.00000006,0.011952191474103585,0.003968253968253968,10.633466135458168
Ryanair,LUTON,KRAKOW,415,2,4.9565218600000005,0.0119434261686747,0.004796163069544364,20.674698795180724
easyJet,GATWICK,HURGHADA,501,4,5.90506108,0.011786549061876248,0.007920792079207921,26.798403193612774
British Airways,GATWICK,KOS,170,0,2.00000012,0.011764706588235295,0.0,31.5
easyJet,MANCHESTER,RHODES,164,4,1.92857162,0.011759583048780489,0.023809523809523808,41.707317073170735
British Airways,HEATHROW,CHANIA,171,0,2.00000012,0.011695907134502925,0.0,27.105263157894736
Jet2.com,BELFAST INTERNATIONAL,PALMA DE MALLORCA,171,0,2.00000008,0.011695906900584795,0.0,28.818713450292396
Ryanair,NEWCASTLE,PALMA DE MALLORCA,171,0,2.00000008,0.011695906900584795,0.0,18.292397660818715
Jet2.com,EDINBURGH,MALAGA,171,0,2.00000007,0.011695906842105263,0.0,25.36842105263158
Ryanair,STANSTED,PODGORICA,171,1,2.0,0.011695906432748537,0.005813953488372093,28.584795321637426
Delta Airlines,EDINBURGH,BOSTON,171,0,1.99999986,0.011695905614035088,0.0,11.345029239766081
Ryanair,STANSTED,WARSAW (MODLIN MASOVIA),423,1,4.93617012,0.011669432907801418,0.0023584905660377358,11.198581560283689
Ryanair,MANCHESTER,MURCIA INTERNATIONAL,345,0,4.0000000700000005,0.011594203101449277,0.0,18.031884057971016
Jet2.com,MANCHESTER,HERAKLION,259,2,3.0000003299999998,0.011583012857142857,0.007662835249042145,33.602316602316606
Ryanair,LUTON,CORK,259,0,3.0000002999999995,0.011583012741312739,0.0,17.44015444015444
easyJet,LUTON,KEFLAVIK,257,1,2.97435898,0.011573381245136186,0.003875968992248062,10.57976653696498
easyJet,GATWICK,MALAGA,1461,14,16.90256381,0.011569174407939767,0.009491525423728813,18.06365503080082
Ryanair,NEWCASTLE,BARCELONA,173,0,2.0000000900000003,0.011560694161849712,0.0,8.99421965317919
Jet2.com,STANSTED,ARRECIFE,433,1,5.00000015,0.011547344457274827,0.002304147465437788,15.799076212471132
Aurigny Air Services,BIRMINGHAM,GUERNSEY,339,10,3.90423354,0.011516913097345132,0.02865329512893983,13.799410029498524
British Airways,HEATHROW,DELHI,684,8,7.865499229999999,0.011499267880116957,0.011560693641618497,15.853801169590643
easyJet,BRISTOL,TOULOUSE (BLAGNAC),174,0,2.0000000900000003,0.0114942533908046,0.0,12.114942528735632
Delta Airlines,EDINBURGH,NEW YORK (JF KENNEDY),261,3,2.9999999600000002,0.011494252720306514,0.011363636363636364,18.904214559386972
British Airways,HEATHROW,LAS VEGAS,434,2,4.972973339999999,0.01145846391705069,0.0045871559633027525,11.988479262672811
TUI Airways,BIRMINGHAM,ARRECIFE,175,0,2.0000000200000003,0.011428571542857145,0.0,28.32
Aer Lingus,MANCHESTER,BELFAST CITY (GEORGE BEST),1171,38,13.33626562,0.011388783620836892,0.03143093465674111,13.302305721605466
British Airways,HEATHROW,CAPE TOWN,614,3,6.97297253,0.011356632785016287,0.004862236628849271,11.37785016286645
