carrier_group,reporting_airport,origin_destination,month,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
Air China,GATWICK,SHANGHAI (PU DONG),9,30,0,0.0,0.0,0.0,29.0
Wizz Air,LUTON,SUCEAVA,11,31,0,0.0,0.0,0.0,1.0
easyJet,SOUTHEND,AMSTERDAM,4,36,0,0.0,0.0,0.0,6.944444444444445
Air France,HEATHROW,PARIS (CHARLES DE GAULLE),6,177,3,0.0,0.0,0.016666666666666666,12.0
Norwegian Air Sweden Ab,GATWICK,COPENHAGEN,8,118,1,0.0,0.0,0.008403361344537815,11.0
British Airways,GLASGOW,HEATHROW,7,260,7,0.0,0.0,0.026217228464419477,16.0
Air Canada,HEATHROW,CALGARY,7,31,0,0.0,0.0,0.0,4.0
Thy Turkish Airlines,MANCHESTER,ISTANBUL,9,122,0,0.0,0.0,0.0,11.0
easyJet,GATWICK,TIVAT,10,25,1,0.0,0.0,0.038461538461538464,18.0
Wizz Air,LUTON,VILNIUS,1,25,0,0.0,0.0,0.0,5.0
British Airways,GATWICK,BORDEAUX,3,27,0,0.0,0.0,0.0,10.0
Eurowings Luftverkehrs,HEATHROW,COLOGNE BONN,5,79,0,0.0,0.0,0.0,5.0
Ryanair,STANSTED,SEVILLE,5,36,0,0.0,0.0,0.0,11.0
Air Portugal,GATWICK,LISBON,1,54,0,0.0,0.0,0.0,16.0
British Airways,GATWICK,MARRAKESH,6,42,1,0.0,0.0,0.023255813953488372,14.0
easyJet,LIVERPOOL (JOHN LENNON),JERSEY,8,27,0,0.0,0.0,0.0,10.0
Ryanair,MANCHESTER,BUDAPEST,5,31,0,0.0,0.0,0.0,17.29032258064516
Jet2.com,NEWCASTLE,PALMA DE MALLORCA,4,29,0,0.0,0.0,0.0,1.0
British Airways,HEATHROW,GLASGOW,7,261,7,0.0,0.0,0.026119402985074626,12.0
Kuwait Airways,HEATHROW,KUWAIT,4,69,0,0.0,0.0,0.0,1.0
Air Canada,HEATHROW,HALIFAX INT,10,30,1,0.0,0.0,0.03225806451612903,4.0
easyJet,LIVERPOOL (JOHN LENNON),PALMA DE MALLORCA,8,61,1,0.0,0.0,0.016129032258064516,15.475409836065573
Ryanair,MANCHESTER,MALAGA,8,66,0,0.0,0.0,0.0,18.0
British Airways,HEATHROW,TEL AVIV,11,30,0,0.0,0.0,0.0,4.0
United Airlines,HEATHROW,DENVER INTERNATIONAL,1,31,0,0.0,0.0,0.0,6.0
Virgin Atlantic Airways Ltd,HEATHROW,LOS ANGELES INTERNATIONAL,7,92,1,0.0,0.0,0.010752688172043012,4.0
easyJet,STANSTED,AMSTERDAM,4,60,1,0.0,0.0,0.01639344262295082,6.483333333333333
American Airlines,HEATHROW,LOS ANGELES INTERNATIONAL,4,59,1,0.0,0.0,0.016666666666666666,9.0
Lufthansa,HEATHROW,MUNICH,8,260,0,0.0,0.0,0.0,7.0
Emerald Airlines Uk Ltd,BELFAST CITY (GEORGE BEST),EDINBURGH,7,68,6,0.0,0.0,0.08108108108108109,29.0
Ryanair,MANCHESTER,COPENHAGEN,10,38,0,0.0,0.0,0.0,18.68421052631579
easyJet,GATWICK,GLASGOW,7,101,0,0.0,0.0,0.0,16.0
Jet2.com,GLASGOW,PALMA DE MALLORCA,8,39,1,0.0,0.0,0.025,9.0
Middle East Airlines (Air Liban S A L),HEATHROW,BEIRUT,8,62,0,0.0,0.0,0.0,7.0
Lufthansa,BIRMINGHAM,FRANKFURT MAIN,10,105,2,0.0,0.0,0.018691588785046728,8.0
Ryanair,LUTON,MALAGA,9,34,0,0.0,0.0,0.0,21.0
Eastern Airways,TEESSIDE INTERNATIONAL AIRPORT,ABERDEEN,8,25,1,0.0,0.0,0.038461538461538464,13.0
Jet2.com,NEWCASTLE,FARO,7,31,0,0.0,0.0,0.0,5.0
Ryanair,LIVERPOOL (JOHN LENNON),MALAGA,8,49,0,0.0,0.0,0.0,14.0
British Airways,HEATHROW,BUDAPEST,10,125,0,0.0,0.0,0.0,12.0
Klm,LONDON CITY,AMSTERDAM,3,198,2,0.0,0.0,0.01,4.0
Jet2.com,STANSTED,PALMA DE MALLORCA,6,60,0,0.0,0.0,0.0,15.0
Wideroe Flyveselskap A/S,ABERDEEN,BERGEN,10,56,0,0.0,0.0,0.0,4.0
easyJet,BRISTOL,MADRID,5,25,1,0.0,0.0,0.038461538461538464,16.0
Gulf Air,HEATHROW,BAHRAIN,7,62,0,0.0,0.0,0.0,7.0
easyJet,GATWICK,BARCELONA,2,95,0,0.0,0.0,0.0,5.0
Italia Traspoto Aereo,LONDON CITY,MILAN (LINATE),11,124,0,0.0,0.0,0.0,1.0
British Airways,HEATHROW,VANCOUVER,4,45,0,0.0,0.0,0.0,8.0
Wizz Air,LUTON,CLUJ NAPOCA,2,49,1,0.0,0.0,0.02,2.183673469387755
Ryanair,STANSTED,LAS PALMAS,9,26,0,0.0,0.0,0.0,21.0
easyJet,GATWICK,INNSBRUCK,4,26,0,0.0,0.0,0.0,8.0
Ryanair,BIRMINGHAM,KRAKOW,5,35,0,0.0,0.0,0.0,9.0
Ryanair,EDINBURGH,BARCELONA,5,53,0,0.0,0.0,0.0,22.0
easyJet,GATWICK,DALAMAN,7,92,4,0.0,0.0,0.041666666666666664,31.0
Loganair Ltd,ABERDEEN,DUBLIN,8,40,2,0.0,0.0,0.047619047619047616,14.0
Wizz Air,LUTON,VILNIUS,5,31,0,0.0,0.0,0.0,0.0
easyJet,LIVERPOOL (JOHN LENNON),BELFAST INTERNATIONAL,5,115,0,0.0,0.0,0.0,8.0
Virgin Atlantic Airways Ltd,HEATHROW,LOS ANGELES INTERNATIONAL,8,93,0,0.0,0.0,0.0,2.0
British Airways,GATWICK,OPORTO (PORTUGAL),7,35,0,0.0,0.0,0.0,32.0
Virgin Atlantic Airways Ltd,HEATHROW,LAS VEGAS,12,25,1,0.0,0.0,0.038461538461538464,8.0
easyJet,GATWICK,CATANIA (FONTANAROSSA),9,47,1,0.0,0.0,0.020833333333333332,37.0
Jet2.com,EAST MIDLANDS INTERNATIONAL,PALMA DE MALLORCA,6,56,0,0.0,0.0,0.0,13.0
Virgin Atlantic Airways Ltd,HEATHROW,ATLANTA,3,28,3,0.0,0.0,0.0967741935483871,6.0
Ryanair,EAST MIDLANDS INTERNATIONAL,PALMA DE MALLORCA,5,57,0,0.0,0.0,0.0,21.0
Air Portugal,GATWICK,OPORTO (PORTUGAL),6,59,0,0.0,0.0,0.0,14.0
easyJet,GLASGOW,SOUTHAMPTON,5,31,0,0.0,0.0,0.0,9.0
easyJet,GATWICK,FUNCHAL,2,43,1,0.0,0.0,0.022727272727272728,8.0
easyJet,MANCHESTER,PARIS (CHARLES DE GAULLE),9,118,5,0.0,0.0,0.04065040650406504,33.70338983050848
Ryanair,LUTON,VILNIUS,9,30,0,0.0,0.0,0.0,19.0
easyJet,GATWICK,ANTALYA,4,66,1,0.0,0.0,0.014925373134328358,19.0
Vueling,HEATHROW,BARCELONA,2,56,0,0.0,0.0,0.0,12.0
Eurowings Luftverkehrs,MANCHESTER,DUSSELDORF,6,65,0,0.0,0.0,0.0,10.0
Icelandair,GATWICK,KEFLAVIK,7,49,0,0.0,0.0,0.0,11.0
Emerald Airlines Uk Ltd,BELFAST CITY (GEORGE BEST),GLASGOW,3,36,0,0.0,0.0,0.0,3.0
easyJet,EDINBURGH,BIRMINGHAM,11,91,0,0.0,0.0,0.0,11.0
Ryanair,BOURNEMOUTH,ALICANTE,6,30,0,0.0,0.0,0.0,18.0
easyJet,SOUTHEND,MALAGA,7,28,0,0.0,0.0,0.0,12.0
easyJet,EDINBURGH,BIRMINGHAM,12,93,0,0.0,0.0,0.0,19.0
Saudi Arabian Airlines,MANCHESTER,JEDDAH,9,30,0,0.0,0.0,0.0,11.0
easyJet,BRISTOL,NEWCASTLE,11,45,0,0.0,0.0,0.0,7.0
Ryanair,BOURNEMOUTH,PALMA DE MALLORCA,10,30,0,0.0,0.0,0.0,30.0
Ryanair,STANSTED,BOLOGNA,4,53,0,0.0,0.0,0.0,12.754716981132075
British Airways,HEATHROW,FRANKFURT MAIN,2,114,2,0.0,0.0,0.017241379310344827,4.0
Air France,NEWCASTLE,PARIS (CHARLES DE GAULLE),3,70,1,0.0,0.0,0.014084507042253521,7.0
easyJet,GATWICK,SEVILLE,3,57,0,0.0,0.0,0.0,10.0
British Airways,LONDON CITY,MILAN (LINATE),5,58,0,0.0,0.0,0.0,6.0
Ryanair,BRISTOL,BUDAPEST,10,25,0,0.0,0.0,0.0,17.0
Ryanair,STANSTED,KAUNAS,10,28,0,0.0,0.0,0.0,12.0
easyJet,BRISTOL,PALMA DE MALLORCA,5,93,0,0.0,0.0,0.0,16.56989247311828
Middle East Airlines (Air Liban S A L),HEATHROW,BEIRUT,3,34,1,0.0,0.0,0.02857142857142857,6.0
Ryanair,STANSTED,KAUNAS,12,27,0,0.0,0.0,0.0,9.0
Ethiopian Airlines,MANCHESTER,ADDIS ABABA,10,31,0,0.0,0.0,0.0,28.0
easyJet,EDINBURGH,KRAKOW,3,26,0,0.0,0.0,0.0,12.0
British Airways,HEATHROW,BERLIN BRANDENBURG,4,194,1,0.0,0.0,0.005128205128205128,3.0
Loganair Ltd,GLASGOW,BARRA,3,55,4,0.0,0.0,0.06779661016949153,9.0
easyJet,MANCHESTER,MILAN (LINATE),12,30,0,0.0,0.0,0.0,18.0
Jet2.com,MANCHESTER,FARO,10,44,0,0.0,0.0,0.0,13.0
Ryanair,EDINBURGH,NIEDERRHEIN,8,31,0,0.0,0.0,0.0,11.0
easyJet,LUTON,MALAGA,2,36,0,0.0,0.0,0.0,8.0
Wideroe Flyveselskap A/S,ABERDEEN,BERGEN,12,47,1,0.0,0.0,0.020833333333333332,7.0
Virgin Atlantic Airways Ltd,HEATHROW,LOS ANGELES INTERNATIONAL,2,50,0,0.0,0.0,0.0,4.0
United Airlines,HEATHROW,LOS ANGELES INTERNATIONAL,11,30,0,0.0,0.0,0.0,6.0
British Airways,GLASGOW,HEATHROW,10,308,5,0.0,0.0,0.01597444089456869,12.0
Jet2.com,STANSTED,CORFU,8,35,0,0.0,0.0,0.0,15.0
Jet2.com,GLASGOW,DALAMAN,8,31,0,0.0,0.0,0.0,11.0
Jet2.com,NEWCASTLE,MALAGA,9,30,0,0.0,0.0,0.0,3.0
Ryanair,BELFAST INTERNATIONAL,STANSTED,8,67,0,0.0,0.0,0.0,13.0
Ryanair,EDINBURGH,BARCELONA,6,52,0,0.0,0.0,0.0,28.0
Ryanair,STANSTED,WARSAW (MODLIN MASOVIA),2,36,0,0.0,0.0,0.0,6.444444444444445
Ryanair,LIVERPOOL (JOHN LENNON),ALICANTE,4,38,0,0.0,0.0,0.0,8.0
easyJet,LUTON,ALICANTE,12,58,0,0.0,0.0,0.0,8.0
TUI Airways,GATWICK,TENERIFE (SURREINA SOFIA),4,27,0,0.0,0.0,0.0,25.25925925925926
Loganair Ltd,GLASGOW,KIRKWALL,4,30,1,0.0,0.0,0.03225806451612903,1.0
British Airways,HEATHROW,BOSTON,8,91,2,0.0,0.0,0.021505376344086023,7.0
Vueling,GATWICK,SEVILLE,9,57,1,0.0,0.0,0.017241379310344827,10.0
Virgin Atlantic Airways Ltd,HEATHROW,MUMBAI,12,62,0,0.0,0.0,0.0,7.0
Jet2.com,LIVERPOOL (JOHN LENNON),TENERIFE (SURREINA SOFIA),12,27,0,0.0,0.0,0.0,11.0
Qatar Airways,EDINBURGH,DOHA HAMAD,2,56,0,0.0,0.0,0.0,1.0
British Airways,HEATHROW,SAN FRANCISCO,3,60,2,0.0,0.0,0.03225806451612903,10.0
Ryanair,STANSTED,IRELAND WEST(KNOCK),6,43,0,0.0,0.0,0.0,11.0
Tam Linhas Aereas,HEATHROW,SAO PAULO (GUARULHOS),3,30,0,0.0,0.0,0.0,2.0
British Airways,HEATHROW,SHANGHAI (PU DONG),12,31,0,0.0,0.0,0.0,14.0
American Airlines,HEATHROW,DALLAS/FORT WORTH,1,95,3,0.0,0.0,0.030612244897959183,18.0
Ryanair,BRISTOL,DUBLIN,5,102,0,0.0,0.0,0.0,8.0
easyJet,GATWICK,LISBON,11,77,0,0.0,0.0,0.0,10.0
easyJet,EDINBURGH,BIRMINGHAM,6,84,0,0.0,0.0,0.0,25.0
Ryanair,STANSTED,LUXEMBOURG,4,43,0,0.0,0.0,0.0,11.0
Jet2.com,NEWCASTLE,MALAGA,6,30,0,0.0,0.0,0.0,4.0
Ryanair,STANSTED,BUDAPEST,7,124,0,0.0,0.0,0.0,19.548387096774192
Vueling,GATWICK,SEVILLE,12,47,0,0.0,0.0,0.0,5.0
Ryanair,LIVERPOOL (JOHN LENNON),PALMA DE MALLORCA,7,30,0,0.0,0.0,0.0,49.0
easyJet,EDINBURGH,MILAN (LINATE),10,31,0,0.0,0.0,0.0,6.0
Sas,MANCHESTER,OSLO (GARDERMOEN),8,42,0,0.0,0.0,0.0,5.0
Air Portugal,MANCHESTER,LISBON,5,39,0,0.0,0.0,0.0,18.0
British Airways,GATWICK,ALGIERS,2,26,0,0.0,0.0,0.0,18.0
Edelweiss Air,EDINBURGH,ZURICH,6,37,0,0.0,0.0,0.0,13.0
British Airways,GLASGOW,GATWICK,5,30,0,0.0,0.0,0.0,1.0
Ryanair,STANSTED,BRATISLAVA,5,27,0,0.0,0.0,0.0,7.0
Ryanair,STANSTED,BERGAMO,10,117,0,0.0,0.0,0.0,19.803418803418804
British Airways,GATWICK,SALONIKA,7,40,1,0.0,0.0,0.024390243902439025,24.0
British Airways,HEATHROW,MARSEILLE,5,112,3,0.0,0.0,0.02608695652173913,7.0
Blue Islands Limited,JERSEY,SOUTHAMPTON,8,93,0,0.0,0.0,0.0,12.0
British Airways,HEATHROW,MILAN (MALPENSA),3,121,6,0.0,0.0,0.047244094488188976,9.0
Sunexpress,STANSTED,ANTALYA,4,31,0,0.0,0.0,0.0,9.0
easyJet,GATWICK,MAHON,4,44,0,0.0,0.0,0.0,5.0
Lufthansa City Airlines Gmbh,BIRMINGHAM,MUNICH,4,26,0,0.0,0.0,0.0,1.0
TUI Airways,GATWICK,TENERIFE (SURREINA SOFIA),2,30,1,0.0,0.0,0.03225806451612903,24.0
British Airways,HEATHROW,TIRANA,9,28,0,0.0,0.0,0.0,21.0
Vueling,GATWICK,ASTURIAS,4,25,1,0.0,0.0,0.038461538461538464,0.0
Egypt Air,HEATHROW,CAIRO,3,70,5,0.0,0.0,0.06666666666666667,4.0
Aer Lingus,LEEDS BRADFORD,DUBLIN,11,69,3,0.0,0.0,0.041666666666666664,9.0
Loganair Ltd,ISLE OF MAN,LONDON CITY,7,35,1,0.0,0.0,0.027777777777777776,3.0
British Airways,HEATHROW,ABU DHABI INTERNATIONAL,12,31,0,0.0,0.0,0.0,3.0
easyJet,EDINBURGH,MADRID,10,30,0,0.0,0.0,0.0,19.0
Iberia Express,GATWICK,MADRID,2,48,0,0.0,0.0,0.0,2.0
Italia Traspoto Aereo,LONDON CITY,MILAN (LINATE),3,129,0,0.0,0.0,0.0,0.0
easyJet,BRISTOL,LISBON,7,39,0,0.0,0.0,0.0,40.92307692307692
Klm,BRISTOL,AMSTERDAM,1,116,0,0.0,0.0,0.0,15.0
Iberia Express,GATWICK,MADRID,10,52,0,0.0,0.0,0.0,2.0
British Airways,LONDON CITY,BERLIN BRANDENBURG,7,101,0,0.0,0.0,0.0,7.0
British Airways,LONDON CITY,ZURICH,4,68,0,0.0,0.0,0.0,10.0
Delta Airlines,HEATHROW,BOSTON,4,30,0,0.0,0.0,0.0,6.0
Lufthansa,BIRMINGHAM,FRANKFURT MAIN,6,110,2,0.0,0.0,0.017857142857142856,10.0
British Airways,GLASGOW,LONDON CITY,11,127,1,0.0,0.0,0.0078125,6.0
Klm,TEESSIDE INTERNATIONAL AIRPORT,AMSTERDAM,2,80,0,0.0,0.0,0.0,7.0
easyJet,NEWCASTLE,BELFAST INTERNATIONAL,4,72,0,0.0,0.0,0.0,8.0
Aer Lingus,MANCHESTER,ORLANDO,6,28,0,0.0,0.0,0.0,6.0
Ryanair,EDINBURGH,COPENHAGEN,1,25,1,0.0,0.0,0.038461538461538464,17.2
easyJet,LUTON,INVERNESS,10,50,1,0.0,0.0,0.0196078431372549,32.0
British Airways,HEATHROW,EDINBURGH,3,334,13,0.0,0.0,0.037463976945244955,7.0
easyJet,BRISTOL,NICE,4,35,0,0.0,0.0,0.0,21.0
Wizz Air,GATWICK,MALAGA,3,32,0,0.0,0.0,0.0,4.0
British Airways,GATWICK,TAMPA,5,31,0,0.0,0.0,0.0,9.0
Virgin Atlantic Airways Ltd,HEATHROW,TAMPA,12,29,1,0.0,0.0,0.03333333333333333,4.0
Air Baltic,GATWICK,RIGA,9,52,0,0.0,0.0,0.0,18.0
Ryanair,EAST MIDLANDS INTERNATIONAL,DUBLIN,4,60,0,0.0,0.0,0.0,5.0
Air Transat,GLASGOW,TORONTO,5,26,0,0.0,0.0,0.0,14.0
Wizz Air,LUTON,LARNACA,8,31,0,0.0,0.0,0.0,1.0
British Airways,HEATHROW,EDINBURGH,6,322,1,0.0,0.0,0.0030959752321981426,11.0
Sas,HEATHROW,COPENHAGEN,10,101,0,0.0,0.0,0.0,11.0
Aer Lingus,LIVERPOOL (JOHN LENNON),DUBLIN,6,53,3,0.0,0.0,0.05357142857142857,16.0
British Airways,GATWICK,JERSEY,12,71,0,0.0,0.0,0.0,9.0
Ryanair,EDINBURGH,CORK,11,34,0,0.0,0.0,0.0,19.61764705882353
Ryanair,EDINBURGH,PALMA DE MALLORCA,7,36,0,0.0,0.0,0.0,33.5
Jet2.com,BIRMINGHAM,CORFU,9,25,0,0.0,0.0,0.0,33.0
Aer Lingus,EAST MIDLANDS INTERNATIONAL,BELFAST CITY (GEORGE BEST),11,30,0,0.0,0.0,0.0,13.0
Blue Islands Limited,SOUTHAMPTON,JERSEY,1,64,8,0.0,0.0,0.1111111111111111,15.0
Wizz Air,LUTON,KAUNAS,1,31,1,0.0,0.0,0.03125,24.0
easyJet,GATWICK,PISA,12,54,0,0.0,0.0,0.0,4.0
British Airways,GATWICK,LAS PALMAS,12,30,0,0.0,0.0,0.0,19.0
easyJet,STANSTED,EDINBURGH,4,77,0,0.0,0.0,0.0,5.0
easyJet,LIVERPOOL (JOHN LENNON),PALMA DE MALLORCA,6,59,1,0.0,0.0,0.016666666666666666,16.64406779661017
Ryanair,GLASGOW,DUBLIN,11,95,0,0.0,0.0,0.0,11.0
Jet2.com,GLASGOW,ALICANTE,7,31,0,0.0,0.0,0.0,12.0
British Airways,HEATHROW,BILLUND,8,31,0,0.0,0.0,0.0,7.0
Blue Islands Limited,SOUTHAMPTON,JERSEY,10,92,1,0.0,0.0,0.010752688172043012,9.0
Jet2.com,GLASGOW,TENERIFE (SURREINA SOFIA),6,42,0,0.0,0.0,0.0,7.0
Jet2.com,MANCHESTER,IBIZA,5,39,0,0.0,0.0,0.0,14.0
British Airways,JERSEY,GATWICK,6,46,0,0.0,0.0,0.0,13.695652173913043
Ryanair,STANSTED,NUREMBERG,7,40,0,0.0,0.0,0.0,42.0
Sas,MANCHESTER,OSLO (GARDERMOEN),4,46,0,0.0,0.0,0.0,4.0
Ryanair,STANSTED,MEMMINGEN ALLGAU,3,39,0,0.0,0.0,0.0,5.0
Ryanair,EDINBURGH,BERGAMO,8,31,0,0.0,0.0,0.0,32.0
Ryanair,MANCHESTER,MALTA,5,31,0,0.0,0.0,0.0,33.74193548387097
British Airways,GATWICK,GLASGOW,7,31,0,0.0,0.0,0.0,15.0
easyJet,GATWICK,TENERIFE (SURREINA SOFIA),12,89,1,0.0,0.0,0.011111111111111112,8.0
easyJet,GATWICK,HURGHADA,5,44,0,0.0,0.0,0.0,31.0
Lufthansa City Airlines Gmbh,MANCHESTER,MUNICH,8,67,0,0.0,0.0,0.0,23.0
British Airways,HEATHROW,BAHRAIN,1,31,0,0.0,0.0,0.0,6.0
Ryanair,EDINBURGH,CHARLEROI,6,36,2,0.0,0.0,0.05263157894736842,22.0
Jet2.com,EDINBURGH,FARO,10,28,0,0.0,0.0,0.0,12.0
British Airways,LONDON CITY,MADRID,12,47,0,0.0,0.0,0.0,24.0
British Airways,JERSEY,GATWICK,12,70,1,0.0,0.0,0.014084507042253521,5.9
Ryanair,LIVERPOOL (JOHN LENNON),IRELAND WEST(KNOCK),6,34,0,0.0,0.0,0.0,9.0
British Airways,GATWICK,VERONA VILLAFRANCA,6,36,0,0.0,0.0,0.0,23.416666666666668
British Airways,HEATHROW,ZURICH,11,184,1,0.0,0.0,0.005405405405405406,5.0
British Airways,BELFAST CITY (GEORGE BEST),LONDON CITY,5,68,0,0.0,0.0,0.0,8.0
Loganair Ltd,EDINBURGH,SUMBURGH,8,51,1,0.0,0.0,0.019230769230769232,9.0
Jet2.com,EDINBURGH,TENERIFE (SURREINA SOFIA),5,32,0,0.0,0.0,0.0,4.0
easyJet,LUTON,GLASGOW,2,68,0,0.0,0.0,0.0,4.0
Ryanair,STANSTED,VILNIUS,5,26,0,0.0,0.0,0.0,10.0
Air France,EDINBURGH,PARIS (CHARLES DE GAULLE),2,54,0,0.0,0.0,0.0,8.0
easyJet,GATWICK,PREVEZA,7,39,0,0.0,0.0,0.0,29.0
British Airways,HEATHROW,BRUSSELS,2,106,4,0.0,0.0,0.03636363636363636,5.0
Blue Islands Limited,JERSEY,EXETER,10,30,0,0.0,0.0,0.0,7.0
Ryanair,MANCHESTER,BELFAST INTERNATIONAL,7,53,0,0.0,0.0,0.0,13.0
Jet2.com,BIRMINGHAM,TENERIFE (SURREINA SOFIA),11,57,0,0.0,0.0,0.0,12.894736842105264
Ryanair,EDINBURGH,TENERIFE (SURREINA SOFIA),10,29,0,0.0,0.0,0.0,28.20689655172414
easyJet,MANCHESTER,ARRECIFE,12,30,0,0.0,0.0,0.0,50.0
Loganair Ltd,ISLE OF MAN,HEATHROW,4,30,0,0.0,0.0,0.0,11.0
Sunexpress,MANCHESTER,ANTALYA,7,93,0,0.0,0.0,0.0,11.0
Ryanair,MANCHESTER,MALTA,8,31,0,0.0,0.0,0.0,42.58064516129032
Icelandair,HEATHROW,KEFLAVIK,2,53,3,0.0,0.0,0.05357142857142857,8.0
Royal Jordanian,HEATHROW,AMMAN,10,31,0,0.0,0.0,0.0,1.0
easyJet,BRISTOL,MALAGA,4,71,0,0.0,0.0,0.0,6.845070422535211
Jetblue Airways Corporation,EDINBURGH,BOSTON,7,30,1,0.0,0.0,0.03225806451612903,11.0
British Airways,HEATHROW,CORFU,6,58,0,0.0,0.0,0.0,9.0
Vueling,MANCHESTER,BARCELONA,9,53,1,0.0,0.0,0.018518518518518517,15.0
Virgin Atlantic Airways Ltd,HEATHROW,CAPE TOWN,3,28,1,0.0,0.0,0.034482758620689655,1.0
British Airways,GLASGOW,GATWICK,11,30,0,0.0,0.0,0.0,0.0
easyJet,GATWICK,BELFAST INTERNATIONAL,4,112,0,0.0,0.0,0.0,3.0
Iberia,HEATHROW,MADRID,9,237,0,0.0,0.0,0.0,9.0
Vueling,GATWICK,FLORENCE,1,54,1,0.0,0.0,0.01818181818181818,6.0
Ryanair,STANSTED,BRINDISI,5,27,0,0.0,0.0,0.0,23.0
easyJet,GATWICK,BELFAST INTERNATIONAL,9,107,0,0.0,0.0,0.0,18.0
Ryanair,STANSTED,TENERIFE (SURREINA SOFIA),9,59,1,0.0,0.0,0.016666666666666666,16.0
Vueling,GATWICK,BARCELONA,6,244,0,0.0,0.0,0.0,8.0
Aer Lingus,GLASGOW,BELFAST CITY (GEORGE BEST),8,36,1,0.0,0.0,0.02702702702702703,13.0
British Airways,HEATHROW,PALMA DE MALLORCA,5,84,0,0.0,0.0,0.0,16.0
Ryanair,MANCHESTER,ROME (CIAMPINO),4,55,0,0.0,0.0,0.0,9.0
Ryanair,EAST MIDLANDS INTERNATIONAL,ALICANTE,7,66,0,0.0,0.0,0.0,24.0
Ryanair,NEWCASTLE,DUBLIN,5,49,0,0.0,0.0,0.0,13.0
Virgin Atlantic Airways Ltd,HEATHROW,SEATTLE (TACOMA),5,31,0,0.0,0.0,0.0,6.0
British Airways,LONDON CITY,EDINBURGH,3,185,0,0.0,0.0,0.0,4.0
Ryanair,STANSTED,ZAGREB,3,40,0,0.0,0.0,0.0,8.0
Iberia,HEATHROW,MADRID,4,238,2,0.0,0.0,0.008333333333333333,7.0
Virgin Atlantic Airways Ltd,HEATHROW,TAMPA,2,27,0,0.0,0.0,0.0,6.0
British Airways,HEATHROW,LYON,11,74,0,0.0,0.0,0.0,3.0
easyJet,LUTON,PARIS (CHARLES DE GAULLE),2,101,0,0.0,0.0,0.0,9.762376237623762
easyJet,LUTON,HURGHADA,12,29,3,0.0,0.0,0.09375,20.0
Wizz Air,LUTON,KRAKOW,9,35,1,0.0,0.0,0.027777777777777776,7.0
Air Canada,HEATHROW,MONTREAL (DORVAL),4,49,1,0.0,0.0,0.02,8.0
British Airways,HEATHROW,NICE,5,215,2,0.0,0.0,0.009216589861751152,17.0
Ryanair,MANCHESTER,ARRECIFE,3,46,0,0.0,0.0,0.0,16.043478260869566
Swiss Airlines,HEATHROW,GENEVA,7,147,5,0.0,0.0,0.03289473684210526,21.0
Emerald Airlines Uk Ltd,BELFAST CITY (GEORGE BEST),LEEDS BRADFORD,6,101,7,0.0,0.0,0.06481481481481481,11.0
easyJet,GATWICK,CHANIA,9,57,0,0.0,0.0,0.0,38.0
Ryanair,STANSTED,MARSEILLE,12,53,0,0.0,0.0,0.0,9.0
Ryanair,MANCHESTER,IBIZA,8,45,0,0.0,0.0,0.0,15.666666666666666
easyJet,GATWICK,AGADIR (AL MASSIRA),9,25,0,0.0,0.0,0.0,8.0
Ryanair,STANSTED,SZCZECIN (GOLENOW),6,35,0,0.0,0.0,0.0,24.0
Wizz Air,LUTON,SUCEAVA,3,49,0,0.0,0.0,0.0,7.836734693877551
British Airways,HEATHROW,SYDNEY,1,31,0,0.0,0.0,0.0,13.0
British Airways,GATWICK,NICE,5,61,0,0.0,0.0,0.0,21.0
Air France,HEATHROW,NICE,3,29,1,0.0,0.0,0.03333333333333333,10.0
Brussels Airlines,MANCHESTER,BRUSSELS,5,51,0,0.0,0.0,0.0,7.0
Delta Airlines,EDINBURGH,NEW YORK (JF KENNEDY),8,32,1,0.0,0.0,0.030303030303030304,16.0
British Airways,HEATHROW,DENVER INTERNATIONAL,2,26,2,0.0,0.0,0.07142857142857142,10.0
American Airlines,HEATHROW,BOSTON,10,29,2,0.0,0.0,0.06451612903225806,13.0
Ryanair,STANSTED,LAS PALMAS,12,33,1,0.0,0.0,0.029411764705882353,6.0
Aer Lingus,HEATHROW,IRELAND WEST(KNOCK),9,30,0,0.0,0.0,0.0,22.0
Loganair Ltd,NEWCASTLE,SOUTHAMPTON,6,56,0,0.0,0.0,0.0,3.0
easyJet,GATWICK,BELFAST INTERNATIONAL,3,134,0,0.0,0.0,0.0,5.0
easyJet,GATWICK,PALMA DE MALLORCA,3,67,1,0.0,0.0,0.014705882352941176,8.0
Air China,GATWICK,SHANGHAI (PU DONG),6,30,0,0.0,0.0,0.0,15.0
British Airways,HEATHROW,STUTTGART,5,58,1,0.0,0.0,0.01694915254237288,5.0
Ryanair,MANCHESTER,MALAGA,10,67,0,0.0,0.0,0.0,21.0
British Airways,HEATHROW,BUENOS AIRES,3,29,0,0.0,0.0,0.0,5.0
West Jet Airlines,EDINBURGH,TORONTO,8,48,0,0.0,0.0,0.0,14.0
British Airways,HEATHROW,ABUJA,6,30,0,0.0,0.0,0.0,1.0
easyJet,GATWICK,SEVILLE,7,38,1,0.0,0.0,0.02564102564102564,15.0
Eurowings Luftverkehrs,HEATHROW,STUTTGART,7,81,0,0.0,0.0,0.0,13.0
