carrier_group,reporting_airport,origin_destination,month,n_flights,n_cancelled,n_ge_3h,p_ge_3h,p_cancelled,avg_delay_min
Ryanair,EDINBURGH,ALICANTE,4,30,0,2.0000001000000003,0.06666667000000001,0.0,25.0
Ryanair,STANSTED,ANCONA,4,30,0,2.0000001000000003,0.06666667000000001,0.0,35.0
Wizz Air,GATWICK,MEDINA,8,30,0,2.0000001000000003,0.06666667000000001,0.0,36.0
British Airways,HEATHROW,SAO PAULO (GUARULHOS),9,29,1,1.93333314,0.06666666,0.03333333333333333,40.0
American Airlines,HEATHROW,LOS ANGELES INTERNATIONAL,6,59,1,3.93333294,0.06666666,0.016666666666666666,78.0
British Airways,HEATHROW,HONG KONG (CHEK LAP KOK),7,30,0,1.9999998,0.06666666,0.0,40.0
Rwandair,HEATHROW,KIGALI,9,30,0,1.9999998,0.06666666,0.0,35.0
United Airlines,EDINBURGH,CHICAGO (O'HARE),5,30,0,1.9999998,0.06666666,0.0,43.0
Ryanair,LIVERPOOL (JOHN LENNON),ALICANTE,1,30,0,1.9999998,0.06666666,0.0,31.0
Rwandair Express,HEATHROW,KIGALI,4,30,0,1.9999998,0.06666666,0.0,38.0
Air Canada,HEATHROW,VANCOUVER,6,30,0,1.9999998,0.06666666,0.0,26.0
easyJet,MANCHESTER,GENEVA,1,118,3,7.7735851,0.06587783983050848,0.024793388429752067,43.47457627118644
British Airways,HEATHROW,WASHINGTON (DULLES),7,88,4,5.739131200000001,0.06521740000000001,0.043478260869565216,50.0
Ryanair,BELFAST INTERNATIONAL,ALICANTE,10,31,0,2.00000008,0.06451613161290322,0.0,40.12903225806452
United Airlines,HEATHROW,WASHINGTON (DULLES),12,60,2,3.8709678000000003,0.06451613,0.03225806451612903,33.0
American Airlines,HEATHROW,RALEIGH,5,31,0,2.0000000300000003,0.06451613,0.0,22.0
Wizz Air,LUTON,CRAIOVA,1,31,0,2.0000000300000003,0.06451613,0.0,21.0
Norse Atlantic Uk Ltd,GATWICK,ORLANDO,8,31,0,2.0000000300000003,0.06451613,0.0,43.0
United Airlines,HEATHROW,WASHINGTON (DULLES),5,61,1,3.93548393,0.06451613,0.016129032258064516,38.0
Qantas,HEATHROW,SYDNEY,10,31,0,2.0000000300000003,0.06451613,0.0,41.0
Air Canada,EDINBURGH,TORONTO,8,26,5,1.6774193800000001,0.06451613,0.16129032258064516,24.0
British Airways,HEATHROW,SAO PAULO (GUARULHOS),12,31,0,2.0000000300000003,0.06451613,0.0,36.0
United Airlines,HEATHROW,WASHINGTON (DULLES),7,60,2,3.8709678000000003,0.06451613,0.03225806451612903,54.0
United Airlines,EDINBURGH,CHICAGO (O'HARE),7,31,0,2.0000000300000003,0.06451613,0.0,55.0
Kenya Airways,HEATHROW,NAIROBI,3,30,1,1.9354839000000001,0.06451613,0.03225806451612903,26.0
Aurigny Air Services,BRISTOL,GUERNSEY,7,30,1,1.9354839000000001,0.06451613,0.03225806451612903,23.0
